title,species
389 2,Speckled_wood_butterfly
485 12,Small_tortoiseshell_butterfly
779 11,Speckled_wood_butterfly
779 4,Western_honeybee
876 2,Large_white_butterfly
876 2,Pied_hoverfly
876 2,Common_wasp
908 6,Speckled_wood_butterfly
908 6,Crane_fly
908 4,Large_white_butterfly
908 2,Common_wasp
908 5,Speckled_wood_butterfly
908 5,Common_wasp
422 11,Western_honeybee
422 4,Marmalade_hoverfly
410 5,Marmalade_hoverfly
377 2,Western_honeybee
377 3,Garden_bumblebee
661 3,Tree_bumblebee
661 3,Volucella_bombylans_hoverfly
112 2,Buff_tailed_bumblebee
108 4,Meadow_brown_butterfly
203 6,Speckled_wood_butterfly
203 6,Large_white_butterfly
203 4,Speckled_wood_butterfly
203 2,Large_white_butterfly
203 8,Speckled_wood_butterfly
202 2,Large_white_butterfly
202 1,Large_white_butterfly
799 9,Large_white_butterfly
922 4,Speckled_wood_butterfly
922 4,Red_tailed_bumblebee
922 1,Western_honeybee
1020 4,Marmalade_hoverfly
1020 4,Western_honeybee
1020 5,Meadow_brown_butterfly
1020 5,Western_honeybee
1020 11,Garden_bumblebee
1020 11,Western_honeybee
990 6,Meadow_brown_butterfly
989 3,Meadow_brown_butterfly
989 3,Tree_bumblebee
989 8,Meadow_brown_butterfly
989 8,Tree_bumblebee
989 6,Meadow_brown_butterfly
989 6,Tree_bumblebee
989 6,Garden_bumblebee
989 1,Meadow_brown_butterfly
989 1,Crane_fly
990 9,Marmalade_hoverfly
990 5,Small_tortoiseshell_butterfly
990 5,Speckled_wood_butterfly
990 5,Tree_bumblebee
990 5,Western_honeybee
990 3,Garden_bumblebee
990 3,Tree_bumblebee
990 1,Western_honeybee
990 7,Marmalade_hoverfly
1084 2,Garden_bumblebee
1084 6,Speckled_wood_butterfly
1084 6,Red_tailed_bumblebee
1083 6,Garden_bumblebee
1083 6,Marmalade_hoverfly
248 6,Red_admiral_butterfly
248 9,Red_admiral_butterfly
248 8,Western_honeybee
343 6,Tree_bumblebee
343 6,Common_carder_bumblebee
342 6,Pied_hoverfly
342 5,Garden_bumblebee
342 5,Western_honeybee
300 1,Common_wasp
299 3,Western_honeybee
298 6,Red_admiral_butterfly
298 1,Large_white_butterfly
363 2,Large_white_butterfly
363 8,Large_white_butterfly
363 6,Western_honeybee
363 4,Meadow_brown_butterfly
363 4,Western_honeybee
1033 9,Marmalade_hoverfly
971 4,Garden_bumblebee
971 2,Red_admiral_butterfly
1004 6,Crane_fly
1004 3,Speckled_wood_butterfly
1004 3,Meadow_brown_butterfly
1004 3,Western_honeybee
1004 9,Speckled_wood_butterfly
941 8,Speckled_wood_butterfly
941 7,Meadow_brown_butterfly
941 7,Speckled_wood_butterfly
941 7,Tree_bumblebee
941 7,Western_honeybee
1007 2,Pied_hoverfly
1007 2,Common_wasp
1007 2,Crane_fly
1007 6,Red_admiral_butterfly
1007 6,Buff_tailed_bumblebee
686 4,Western_honeybee
819 8,Western_honeybee
393 5,Crane_fly
393 3,Marmalade_hoverfly
393 3,Crane_fly
680 7,Western_honeybee
612 6,Tree_bumblebee
612 6,Pied_hoverfly
612 2,Buff_tailed_bumblebee
612 2,Garden_bumblebee
612 2,Tree_bumblebee
612 2,Heath_bumblebee
612 2,Western_honeybee
612 8,Garden_bumblebee
612 8,Western_honeybee
612 7,Western_honeybee
612 4,Pied_hoverfly
612 4,Crane_fly
612 3,White_tailed_bumblebee
612 3,Marmalade_hoverfly
612 3,Western_honeybee
136 4,Buff_tailed_bumblebee
136 4,Western_honeybee
295 6,White_tailed_bumblebee
295 6,Tree_bumblebee
231 3,Tree_bumblebee
231 3,Buff_tailed_bumblebee
231 12,White_tailed_bumblebee
231 12,Buff_tailed_bumblebee
231 12,Western_honeybee
231 1,Buff_tailed_bumblebee
231 1,White_tailed_bumblebee
231 1,Common_carder_bumblebee
231 1,Western_honeybee
335 1,Western_honeybee
906 4,Red_admiral_butterfly
906 4,Marmalade_hoverfly
906 4,Western_honeybee
906 6,Common_wasp
906 6,Crane_fly
906 9,Tree_bumblebee
906 9,Buff_tailed_bumblebee
906 9,Western_honeybee
906 8,Early_bumblebee
906 8,Western_honeybee
906 2,Common_wasp
906 5,Crane_fly
906 7,Common_wasp
474 4,Marmalade_hoverfly
474 4,Common_wasp
506 12,Common_wasp
506 1,Common_wasp
538 7,Early_bumblebee
538 7,Common_wasp
569 3,Common_wasp
569 9,Common_wasp
542 3,Common_wasp
542 4,Tree_bumblebee
542 9,Common_wasp
654 6,Common_wasp
654 5,Volucella_bombylans_hoverfly
917 7,Marmalade_hoverfly
917 5,Any_Blue_butterfly
917 5,Common_wasp
917 6,Tree_bumblebee
917 6,Marmalade_hoverfly
948 3,Speckled_wood_butterfly
948 3,Large_white_butterfly
948 9,Meadow_brown_butterfly
948 9,Comma_butterfly
948 8,Common_wasp
948 7,Red_admiral_butterfly
948 2,Marmalade_hoverfly
948 4,Common_carder_bumblebee
948 4,Common_wasp
713 3,Common_wasp
713 3,Western_honeybee
713 6,Marmalade_hoverfly
713 6,Western_honeybee
776 9,Marmalade_hoverfly
776 9,Western_honeybee
776 11,Large_white_butterfly
776 12,Common_carder_bumblebee
566 4,Speckled_wood_butterfly
547 11,Marmalade_hoverfly
547 11,Western_honeybee
547 7,Meadow_brown_butterfly
547 8,White_tailed_bumblebee
547 8,Marmalade_hoverfly
547 8,Western_honeybee
547 2,Western_honeybee
580 3,Meadow_brown_butterfly
580 3,Red_tailed_bumblebee
580 3,Early_bumblebee
369 3,Tree_bumblebee
369 3,Common_wasp
420 8,Common_wasp
420 10,Buff_tailed_bumblebee
420 10,Marmalade_hoverfly
420 10,Western_honeybee
420 1,Red_tailed_bumblebee
420 1,Buff_tailed_bumblebee
420 1,Tree_bumblebee
420 1,Western_honeybee
420 11,Marmalade_hoverfly
420 2,Tree_bumblebee
421 10,Marmalade_hoverfly
421 3,Buff_tailed_bumblebee
421 3,Marmalade_hoverfly
421 8,Common_wasp
792 4,Red_tailed_bumblebee
559 8,Tree_bumblebee
559 8,Marmalade_hoverfly
559 3,Buff_tailed_bumblebee
559 3,Tree_bumblebee
559 3,Western_honeybee
559 5,Western_honeybee
559 1,Marmalade_hoverfly
559 2,Tree_bumblebee
559 2,Marmalade_hoverfly
618 7,Any_Small_white_Butterfly
618 10,Any_Small_white_Butterfly
619 5,Any_Small_white_Butterfly
619 10,Any_Small_white_Butterfly
619 4,Any_Small_white_Butterfly
619 1,Any_Small_white_Butterfly
779 10,Any_Small_white_Butterfly
876 4,Any_Small_white_Butterfly
876 6,Any_Small_white_Butterfly
876 8,Any_Small_white_Butterfly
908 9,Any_Small_white_Butterfly
908 3,Any_Small_white_Butterfly
908 4,Any_Small_white_Butterfly
908 2,Any_Small_white_Butterfly
908 1,Any_Small_white_Butterfly
410 1,Any_Small_white_Butterfly
377 2,Any_Small_white_Butterfly
377 6,Any_Small_white_Butterfly
823 7,Any_Small_white_Butterfly
661 4,Any_Small_white_Butterfly
661 5,Any_Small_white_Butterfly
497 1,Any_Small_white_Butterfly
497 4,Any_Small_white_Butterfly
497 10,Any_Small_white_Butterfly
108 4,Any_Small_white_Butterfly
171 1,Any_Small_white_Butterfly
203 6,Any_Small_white_Butterfly
203 4,Any_Small_white_Butterfly
203 5,Any_Small_white_Butterfly
203 8,Any_Small_white_Butterfly
202 2,Any_Small_white_Butterfly
202 1,Any_Small_white_Butterfly
202 8,Any_Small_white_Butterfly
1020 5,Any_Small_white_Butterfly
989 1,Any_Small_white_Butterfly
990 9,Any_Small_white_Butterfly
990 1,Any_Small_white_Butterfly
1083 6,Any_Small_white_Butterfly
248 6,Any_Small_white_Butterfly
248 9,Any_Small_white_Butterfly
248 2,Any_Small_white_Butterfly
248 7,Any_Small_white_Butterfly
311 9,Any_Small_white_Butterfly
342 6,Any_Small_white_Butterfly
300 1,Any_Small_white_Butterfly
363 2,Any_Small_white_Butterfly
363 8,Any_Small_white_Butterfly
363 6,Any_Small_white_Butterfly
363 4,Any_Small_white_Butterfly
1004 3,Any_Small_white_Butterfly
1004 9,Any_Small_white_Butterfly
1007 2,Any_Small_white_Butterfly
474 4,Any_Small_white_Butterfly
506 2,Any_Small_white_Butterfly
948 3,Any_Small_white_Butterfly
948 9,Any_Small_white_Butterfly
948 7,Any_Small_white_Butterfly
948 4,Any_Small_white_Butterfly
776 12,Any_Small_white_Butterfly
580 2,Any_Small_white_Butterfly
580 3,Any_Small_white_Butterfly
421 8,Any_Small_white_Butterfly
792 11,Any_Small_white_Butterfly
618 7,Any_Butterfly
618 10,Any_Butterfly
619 5,Any_Butterfly
619 10,Any_Butterfly
619 4,Any_Butterfly
619 1,Any_Butterfly
779 10,Any_Butterfly
876 4,Any_Butterfly
876 6,Any_Butterfly
876 8,Any_Butterfly
908 9,Any_Butterfly
908 3,Any_Butterfly
908 4,Any_Butterfly
908 2,Any_Butterfly
908 1,Any_Butterfly
410 1,Any_Butterfly
377 2,Any_Butterfly
377 6,Any_Butterfly
823 7,Any_Butterfly
661 4,Any_Butterfly
661 5,Any_Butterfly
497 1,Any_Butterfly
497 4,Any_Butterfly
497 10,Any_Butterfly
108 4,Any_Butterfly
171 1,Any_Butterfly
203 6,Any_Butterfly
203 4,Any_Butterfly
203 5,Any_Butterfly
203 8,Any_Butterfly
202 2,Any_Butterfly
202 1,Any_Butterfly
202 8,Any_Butterfly
1020 5,Any_Butterfly
989 1,Any_Butterfly
990 9,Any_Butterfly
990 1,Any_Butterfly
1083 6,Any_Butterfly
248 6,Any_Butterfly
248 9,Any_Butterfly
248 2,Any_Butterfly
248 7,Any_Butterfly
311 9,Any_Butterfly
